model_year,mpg,weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,18,3504,,corelation = ,-0.831740933,,,,,,,,,,corelation= ,0.579267133,,,,,,,,,,,,,,,,,
70,15,3693,,,,,,,,,,,,,,,,,,,,,,,,Row Labels,Average of Horsepower/Cylinders,,Row Labels,Average of acceleration,,Row Labels,Average of acceleration
80,23.6,2905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,32.4,2290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,27.2,2490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,26.6,2635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,25.8,2620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,23.5,2725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,30,2385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,39.1,1755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,39,1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,35.1,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,32.3,2065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,37,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,37.7,2050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,34.1,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,34.7,2215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,34.4,2045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,29.9,2380,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,33,2190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,34.5,2320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,33.7,2210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,32.4,2350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,32.9,2615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,31.6,2635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,28.1,3230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,30.7,3160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,25.4,2900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,24.2,2930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,22.4,3415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,26.6,3725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,20.2,3060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,17.6,3465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,28,2605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,27,2640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,34,2395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,31,2575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,29,2525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,27,2735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,24,2865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,23,3035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,36,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,37,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,31,1970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,38,2125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,36,2125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,36,2160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,36,2205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,34,2245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,38,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,32,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,38,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,25,2945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,38,3015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,26,2585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,22,2835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,32,2665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,36,2370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,27,2950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,27,2790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,44,2130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,32,2295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,28,2625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,31,2720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
